dwc:stateProvince	dwc:countryCode	dwc:collectionID	dwc:decimalLongitude	dwc:recordedBy	idigbio:uuid	dwc:month	commonname	dwc:collectionCode	dwc:day	taxonid	dwc:decimalLatitude	dwc:occurrenceID	dwc:basisOfRecord	dwc:institutionID	dwc:institutionCode	dwc:year	dwc:scientificName	dwc:continent	dwc:catalogNumber
Nuevo Leon		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Wells, Chris; Nesom, Guy	e0ed98e2-c6cb-4113-a1b5-98be1a903432	7			24	3753319		5e2f996b-5d5d-4439-bfcc-e4029b5e0c6c	PreservedSpecimen		NCU	1977	Heuchera amoena	north america	NCU00196832
Nuevo León	MX	http://biocol.org/urn:lsid:biocol.org:col:15859	-99.9800000	James C. Hinton	459b0bda-e970-4271-90df-631ae3fc41bd	5		MO	18	3753319	23.7500000	urn:catalog:MO:Tropicos:3601166	PreservedSpecimen		MO	1978	Heuchera amoena Rosend., Butters & Lakela	north america	3601166
North Carolina		a252df7c-54e5-4067-b8ad-fb3be53cb0f8	-82.757124	SW Leonard	edd36865-b582-4a73-ba03-1415a60d0092	5			3	3032690	35.845929	ebe28df4-e4e8-43b9-84b0-f1a4f9e6a3a2	PreservedSpecimen		USMS	1970	Heuchera longiflora var. aceroides	north america	USMS_000015181
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2	-82.618818	Leonard, Steven Worth; Radford, A. E.	adb9f072-3664-45f7-b0d6-90b2a20434b0	5			7	3032690	35.702474	1005db12-1b94-4845-97b0-d91e42d3a042	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00061166
North Carolina		a3883acd-bc7d-40f2-a6e4-372a3435e5d1		Radford, A.E.; Logue, J.F.; Bozeman, J.R.	6f174aa5-e5e8-454c-b6f0-e3e3695c2cf2	4			29	3032690		34477C9B-0276-4AE9-87C5-A18891264113	PreservedSpecimen		CM	1967	Heuchera longiflora var. aceroides	north america	CM452203
North Carolina				J. R. Bozeman, A. E. Radford and J. F. Logue	ba0be417-9234-4aba-b3ab-3ed68d45ca0f	4		Herb	29	3032690		029F6B9C-CC26-41D2-B3D6-6D416B2E333E	PreservedSpecimen	urn:lsid:biocol.org:col:15638	USF	1967	Heuchera longiflora var. aceroides	north america	82150
Kentucky		0fdd3b88-7ca2-48ad-92e0-23e26acec000		Buskin	3273d953-1f3a-4264-9050-279fb08049a1	7			14	3032690		aa2ad149-2fa9-4cce-a4a6-f05f62adde0d	PreservedSpecimen		EKY	1972	Heuchera longiflora	north america	31234100862281
North Carolina				E. Williamson	8dcafdb8-e7fc-4c3e-be73-ed5565abca03	6		Herb	13	3032690		CE451AEA-21C3-4DE6-AE3D-5C22B905A729	PreservedSpecimen	urn:lsid:biocol.org:col:15638	USF	1900	Heuchera longiflora var. aceroides	north america	93773
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2	-82.992708	Boufford, David E.; Wood, Emily W.	ff969593-4270-4f0c-8969-7145c37e72e9	6			17	3032690	35.66578	fd80cb73-fd8c-4e66-814b-c6fb47c49502	PreservedSpecimen		NCU	1975	Heuchera longiflora	north america	NCU00061165
North Carolina		a2e32c87-d320-4a01-bafd-a9182ae2e191	-82.877142	A. E. Radford; J. F. Logue and John R. Bozeman	81090a4a-ae74-4acf-a349-664df9782f97			Plants	29	3032690	35.88201	a5b59644-592d-423a-86da-b961e1ab567c	PreservedSpecimen		ASU	1967	Heuchera longiflora	north america	ASU0053514
Kentucky		http://biocol.org/urn:lsid:biocol.org:col:15556	-83.742667	C. W. Short	9ceb6d5a-3e5c-4c55-a691-a71fadc611e1	0		NY	0	3032690	38.144974	80b66ab7-8f25-4704-8607-e3e6bc19709b	PreservedSpecimen	http://biocol.org/urn:lsid:biocol.org:col:15556	NY	0	Heuchera longiflora Rydb.	North America	186026
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2	-82.72986	Schwartzman, Edward	edb436bf-793f-4342-b056-5f3d49df2741	4			25	3032690	35.801216	0ffb7b99-38f7-492b-90ae-32cbf05a9548	PreservedSpecimen		NCU	2011	Heuchera longiflora	north america	NCU00121787
Kentucky		0fdd3b88-7ca2-48ad-92e0-23e26acec000		Bryce D. Fields	d848363d-5681-4300-97af-9061195cf978	6			12	3032690		de8ee2c1-f561-4397-9209-0635b71f5299	PreservedSpecimen		EKY	1993	Heuchera longiflora	north america	31234100751542
North Carolina		a2e32c87-d320-4a01-bafd-a9182ae2e191	-82.749136	S. W. Leonard; D. Russ	97d2131c-f2c7-477b-aeaa-d758cb6412cb			Plants	18	3032690	35.833731	cd747026-4e39-4e90-81f9-5fe52ab58e7b	PreservedSpecimen		ASU	1969	Heuchera longiflora	north america	ASU0053505
Virginia		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	9d8bbb5c-4498-4a7a-844b-9fc9b8cac6ae	6			12	3032690		743194fe-aca8-4da6-bb2b-c14401d5ff49	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190337
Virginia		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	b7838c05-0d76-4787-a8fb-286753da78b0	6			10	3032690		250bd0cd-3314-45f0-a0a2-7a66b7ff2f91	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190339
North Carolina		http://biocol.org/urn:lsid:biocol.org:col:15556	0	J. R. Churchill	d942b3d0-f193-4761-b52f-13e467241335	0		NY	0	3032690	0	c1c15a5f-4f22-4575-a7cf-3d72b6419b2f	PreservedSpecimen	http://biocol.org/urn:lsid:biocol.org:col:15556	NY	1899	Heuchera scabra Rydb.	North America	186061
Kentucky		a3883acd-bc7d-40f2-a6e4-372a3435e5d1		Thieret, J.W.	3630ee02-1589-4a73-9994-d6c452b440ce	5			17	3032690		CF30638B-3C56-49D7-B33F-652D6E84229D	PreservedSpecimen		CM	1994	Heuchera longiflora	north america	CM389600
North Carolina		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Boufford, D. E.; Schram, L.; Wickland, D.; Wood, E.	fc832535-0964-4d2b-a03b-cc519d772a11	5			16	3032690		3383e008-a59a-4bfd-a44a-d7d86d2dcaba	PreservedSpecimen		NCU	1974	Heuchera longiflora	north america	NCU00061187
Virginia		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Wieboldt, T. F.	85bbf0b9-bb3b-4e14-8718-dcb5825ca4a0	6			2	3032690		0dac1d36-afd0-4f4a-91a5-3f430993bcfa	PreservedSpecimen		NCU	1988	Heuchera longiflora	north america	NCU00190340
Virginia		17f2d0fa-39a6-4465-8055-1d6fc12eeda2		Furr, R. S.	8553f418-0d58-499b-9cce-8117ef84f97b	6			10	3032690		ed2c0611-b2e6-484d-b3d3-887467d19bd5	PreservedSpecimen		NCU	1968	Heuchera longiflora	north america	NCU00190338
North Carolina		4b4dd71f-d42c-4af9-837d-0a353ad73aa9		S. W. Leonard	dfee6cf8-3069-4164-929f-cb7d74ea73b2	5			3	3032690		fb264ee3-04f7-42d0-8946-d55c1f682176	PreservedSpecimen		MISS	1970	Heuchera longiflora var. aceroides	north america	MISS0025702
