species, decimallongitude, decimallatitude
Heuchera_americana,-81.1763888889,39.9880555556
Heuchera_americana,-81.1691666667,40.4952777778
Heuchera_americana,-80.9194444444,40.3863888889
Heuchera_americana,-80.9194444444,40.3863888889
Heuchera_americana,-80.8091666667,40.4216666667
Heuchera_americana,-80.6761111111,41.8908333333
Heuchera_americana,-80.5725000000,41.3075000000
Heuchera_americana,-93.584153,36.678587
Heuchera_americana,-93.070165,35.943319
Heuchera_americana,-92.297486,35.995665
Heuchera_americana,-92.127813,34.369197
Heuchera_americana,-91.209527,37.093791
Heuchera_americana,-91.085753,36.306896
Heuchera_americana,-90.675,38.125
Heuchera_americana,-90.588731,38.999907
Heuchera_americana,-89.54356,34.370753
Heuchera_americana,-89.459,34.667
Heuchera_americana,-89.40816667,33.38383333
Heuchera_americana,-89.391202,34.426739
Heuchera_americana,-89.38128,37.28431
Heuchera_americana,-89.37846,37.30718
Heuchera_americana,-89.124048,37.840508
Heuchera_americana,-89.087,36.846
Heuchera_americana,-89.085,36.848
Heuchera_americana,-89.077,36.836
Heuchera_americana,-88.9057,37.5121
Heuchera_americana,-88.8489,32.2281
Heuchera_americana,-88.8489,32.2281
Heuchera_americana,-88.8,34.707
Heuchera_americana,-88.8,34.707
Heuchera_americana,-88.561,34.682
Heuchera_americana,-88.406,34.285
Heuchera_americana,-88.3292,37.60163
Heuchera_americana,-88.3109,33.8945
Heuchera_americana,-88.22611111,34.983889
Heuchera_americana,-88.21562,34.98055
Heuchera_americana,-88.19414,34.60531
Heuchera_americana,-88.1915,34.6052
Heuchera_americana,-88.18065,34.95964
Heuchera_americana,-88.18065,34.95964
Heuchera_americana,-88.17807,34.93458
Heuchera_americana,-88.16927,34.93979
Heuchera_americana,-88.16726,34.92909
Heuchera_americana,-88.153095,39.402248
Heuchera_americana,-85.81123,36.08085
Heuchera_americana,-85.604444,33.721111
Heuchera_americana,-84.693514,35.147415
Heuchera_americana,-84.119934,35.02714
Heuchera_americana,-83.937459,35.44307
Heuchera_americana,-83.5486972,32.4881583
Heuchera_americana,-83.300208,35.085265
Heuchera_americana,-83.300076,35.148812
Heuchera_americana,-83.1442806,40.2749194
Heuchera_americana,-82.972097,35.525978
Heuchera_americana,-82.941249,35.645284
Heuchera_americana,-82.869151,35.737329
Heuchera_americana,-82.856243,35.409551
Heuchera_americana,-82.840349,35.898279
Heuchera_americana,-82.836653,41.63929
Heuchera_americana,-82.641667,34.0625
Heuchera_americana,-82.5617884,35.3037271
Heuchera_americana,-82.556116,35.540711
Heuchera_americana,-82.556116,35.540711
Heuchera_americana,-82.556116,35.540711
Heuchera_americana,-82.554015,35.600945
Heuchera_americana,-82.533457,35.558169
Heuchera_americana,-82.479907,35.336292
Heuchera_americana,-82.455335,35.913356
Heuchera_americana,-82.441508,35.271228
Heuchera_americana,-82.441508,35.271228
Heuchera_americana,-82.441508,35.271228
Heuchera_americana,-82.441508,35.271228
Heuchera_americana,-82.434931,35.168697
Heuchera_americana,-82.422634,39.481698
Heuchera_americana,-82.344593,34.09611
Heuchera_americana,-82.332615,35.500396
Heuchera_americana,-82.323514,37.296142
Heuchera_americana,-82.321614,37.300319
Heuchera_americana,-82.308611,37.294028
Heuchera_americana,-82.287338,35.185948
Heuchera_americana,-82.282619,35.64484
Heuchera_americana,-82.275362,35.917651
Heuchera_americana,-82.252762,35.419625
Heuchera_americana,-82.213179,35.909561
Heuchera_americana,-82.022313,36.023569
Heuchera_americana,-81.99475,33.542909
Heuchera_americana,-81.912937,35.921863
Heuchera_americana,-81.711678,35.834001
Heuchera_americana,-81.593086,35.13592
Heuchera_americana,-81.558536,35.423676
Heuchera_americana,-81.534084,35.999162
Heuchera_americana,-81.529059,36.288667
Heuchera_americana,-81.4986,36.2915
Heuchera_americana,-81.341197,35.733188
Heuchera_americana,-81.297873,34.51148
Heuchera_americana,-81.169751,36.17371
Heuchera_americana,-81.151471,36.566448
Heuchera_americana,-81.097159,35.052421
Heuchera_americana,-80.856778,36.108553
Heuchera_americana,-80.4347,33.4742
Heuchera_americana,-80.360732,35.78159
Heuchera_americana,-80.020833,35.738333
Heuchera_americana,-80.019145,33.176119
Heuchera_americana,-79.561003,36.235846
Heuchera_americana,-79.528567,34.064067
Heuchera_americana,-79.438356,36.343309
Heuchera_americana,-79.291667,40.129167
Heuchera_americana,-79.280712,36.021222
Heuchera_americana,-79.252642,35.536819
Heuchera_americana,-79.246693,35.5386
Heuchera_americana,-79.088078,35.757001
Heuchera_americana,-79.037875,35.891961
Heuchera_americana,-79.013899,35.801815
Heuchera_americana,-79.001616,35.900779
Heuchera_americana,-78.898074,35.468214
Heuchera_americana,-78.873341,36.073411
Heuchera_americana,-78.74238889,36.16175
Heuchera_americana,-78.74205556,36.16211111
Heuchera_americana,-78.697987,35.793081
Heuchera_americana,-78.697987,35.793081
Heuchera_americana,-78.436571,35.675573
Heuchera_americana,-78.140067,35.858785
Heuchera_americana,-77.407676,37.196957
Heuchera_americana,-77.1346,35.026683
Heuchera_americana,-77.095399,36.468816
Heuchera_americana,-76.85556,40.894678
Heuchera_americana,-76.7122222,37.9444444
Heuchera_americana,-73.806656,40.874456
Heuchera_americana,-95.13507,36.10983
Heuchera_americana,-94.92225,35.99497
Heuchera_americana,-94.81541,35.39653
Heuchera_americana,-94.63944,36.98882
Heuchera_americana,-94.56787,34.57812
Heuchera_americana,-94.485,36.54555
Heuchera_americana,-94.46277,37.14638
Heuchera_americana,-94.44416,37.25694
Heuchera_americana,-94.38833,36.78027
Heuchera_americana,-94.18066,35.24106
Heuchera_americana,-94.03357,35.50056
Heuchera_americana,-93.7542,36.5481
Heuchera_americana,-93.75416,36.54805
Heuchera_americana,-93.60555,36.67222
Heuchera_americana,-93.48798,36.49775
Heuchera_americana,-93.46638,36.80527
Heuchera_americana,-93.38972,36.56276
Heuchera_americana,-93.24371,35.22192
Heuchera_americana,-93.0625,36.7953
Heuchera_americana,-93.04036,35.8648
Heuchera_americana,-92.99805,36.51805
Heuchera_americana,-92.88527,36.69166
Heuchera_americana,-92.88527,36.69166
Heuchera_americana,-92.875,37.83333
Heuchera_americana,-92.84454,37.93749
Heuchera_americana,-92.84361,37.93277
Heuchera_americana,-92.74888,37.97444
Heuchera_americana,-92.74888,37.97444
Heuchera_americana,-92.65305,38.10388
Heuchera_americana,-92.65277,36.54305
Heuchera_americana,-92.60361,36.51555
Heuchera_americana,-92.59944,36.50305
Heuchera_americana,-92.53845,35.07355
Heuchera_americana,-92.37022,34.97471
Heuchera_americana,-92.36743,36.06905
Heuchera_americana,-92.30342,34.78474
